file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,146,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,17
style.css,147,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,148,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,149,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,5
style.css,150,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,16
style.css,151,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,152,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,153,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,8
style.css,154,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,33
style.css,155,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,11
style.css,156,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,157,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,0
style.css,158,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,0,6
style.css,159,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,31
style.css,160,css,53baa168,Vanshika S,2025-11-30,05:50:32,-08:00,2025-11-30T05:50:32-08:00,1,9
style.css,161,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,0,0
style.css,162,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,0,0
style.css,163,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,0,13
style.css,164,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,1,17
style.css,165,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,1,37
style.css,166,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,1,39
style.css,167,css,0a760c82,Vanshika S,2025-11-30,07:23:52,-08:00,2025-11-30T07:23:52-08:00,1,54
style.css,168,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,169,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,170,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,14
style.css,171,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,17
style.css,172,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,0
style.css,173,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,0
style.css,174,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,44
style.css,175,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,17
style.css,176,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,1,12
style.css,177,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,1,36
style.css,178,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,46
style.css,179,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,8
style.css,180,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,9
style.css,181,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,17
style.css,182,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,0
